ticker,Year,Percentage of Recurrence,Trapping Time,Laminarity,Recurrence Rate,Divergence,Max Vertical Length,Entropy of Vertical Structures,Mean Recurrence Time,Recurrence Time Entropy,Num Most Probable Recurrence Time
BTC-USD,2014,3431.107448,106,0.009433962,0.003053945,0.009433962,9925.938599,37.03207617,34.31107448,37.03207617,0
BTC-USD,2015,5839.122796,365,0.002739726,0.000438294,0.002739726,70396.68634,99.56067614,58.39122796,99.56067614,348
BTC-USD,2016,15616.51441,366,0.00273224,0.001165803,0.00273224,149118.8726,127.6070094,156.1651441,127.6070094,362
BTC-USD,2017,381443.3039,365,0.002739726,0.028631726,0.002739726,5654348.868,-9532.144621,3814.433039,-9532.144621,349
BTC-USD,2018,256302.3101,365,0.002739726,0.019238449,0.002739726,3633465.885,-5261.430666,2563.023101,-5261.430666,5
BTC-USD,2019,300889.2148,365,0.002739726,0.022585211,0.002739726,2051659.585,-6420.773817,3008.892148,-6420.773817,176
BTC-USD,2020,420804.9192,366,0.00273224,0.031413902,0.00273224,6546035.396,-10860.05735,4208.049192,-10860.05735,365
BTC-USD,2021,1124551.77,365,0.002739726,0.084410599,0.002739726,7347412.078,-38850.6992,11245.5177,-38850.6992,311
BTC-USD,2022,1129828.104,365,0.002739726,0.084806649,0.002739726,7113506.316,-39041.4576,11298.28104,-39041.4576,0
BTC-USD,2023,627345.096,365,0.002739726,0.047089496,0.002739726,5587110.959,-18440.23896,6273.45096,-18440.23896,341
BTC-USD,2024,551424.5534,60,0.016666667,1.532160471,0.016666667,973399.3047,-25299.57117,5514.245534,-25299.57117,58
ETH-USD,2017,19215.83162,53,0.018867925,0.068432449,0.018867925,15621.02484,-251.958452,192.1583162,-251.958452,40
ETH-USD,2018,33412.4557,365,0.002739726,0.002507991,0.002739726,333212.9958,13.0002365,334.124557,13.0002365,12
ETH-USD,2019,5536.483536,365,0.002739726,0.000415577,0.002739726,56568.80828,100.8269616,55.36483536,100.8269616,176
ETH-USD,2020,15767.10375,366,0.00273224,0.001177045,0.00273224,162531.8087,123.4487067,157.6710375,123.4487067,364
ETH-USD,2021,117512.4488,365,0.002739726,0.008820667,0.002739726,747515.1072,-1404.573461,1175.124488,-1404.573461,0
ETH-USD,2022,86008.586,365,0.002739726,0.006455938,0.002739726,672392.6904,-764.413304,860.08586,-764.413304,1
ETH-USD,2023,24035.33025,365,0.002739726,0.001804129,0.002739726,216879.7181,82.97726951,240.3533025,82.97726951,0
ETH-USD,2024,33577.46503,60,0.016666667,0.093296652,0.016666667,49864.85449,-599.9255978,335.7746503,-599.9255978,58
USDT-USD,2017,1.206589865,53,0.018867925,4.30E-06,0.018867925,3.596703112,0.099190795,0.012065899,0.099190795,33
USDT-USD,2018,0.792886954,365,0.002739726,5.95E-08,0.002739726,12.45375723,0.08394324,0.00792887,0.08394324,15
USDT-USD,2019,0.586014708,365,0.002739726,4.40E-08,0.002739726,6.992947161,0.06413115,0.005860147,0.06413115,1
USDT-USD,2020,0.319939332,366,0.00273224,2.39E-08,0.00273224,19.13047469,0.036447297,0.003199393,0.036447297,71
USDT-USD,2021,0.070428516,365,0.002739726,5.29E-09,0.002739726,4.014995635,0.009152102,0.000704285,0.009152102,106
USDT-USD,2022,0.057327145,365,0.002739726,4.30E-09,0.002739726,1.477703214,0.007597367,0.000573271,0.007597367,130
USDT-USD,2023,0.062040304,365,0.002739726,4.66E-09,0.002739726,2.711406827,0.00808751,0.000620403,0.00808751,69
USDT-USD,2024,0.058159461,60,0.016666667,1.62E-07,0.016666667,0.076340497,0.006679514,0.000581595,0.006679514,35
BNB-USD,2017,241.4573571,53,0.018867925,0.000859891,0.018867925,351.060948,7.214257779,2.414573571,7.214257779,48
BNB-USD,2018,361.6479223,365,0.002739726,2.71E-05,0.002739726,4229.350963,16.45292247,3.616479223,16.45292247,5
BNB-USD,2019,949.3787738,365,0.002739726,7.13E-05,0.002739726,6833.872775,34.26291841,9.493787738,34.26291841,171
BNB-USD,2020,706.6483692,366,0.00273224,5.28E-05,0.00273224,6442.484522,27.64914458,7.066483692,27.64914458,363
BNB-USD,2021,19064.24532,365,0.002739726,0.001430992,0.002739726,124245.9882,114.8508317,190.6424532,114.8508317,0
BNB-USD,2022,7981.805629,365,0.002739726,0.000599127,0.002739726,75561.26636,117.762939,79.81805629,117.762939,1
BNB-USD,2023,4753.262962,365,0.002739726,0.000356787,0.002739726,29794.74551,96.11176523,47.53262962,96.11176523,105
BNB-USD,2024,3259.821691,60,0.016666667,0.009057576,0.016666667,5375.054779,16.76818988,32.59821691,16.76818988,58
SOL-USD,2020,112.1743123,266,0.003759398,1.59E-05,0.003759398,820.5282642,6.089623489,1.121743123,6.089623489,143
SOL-USD,2021,8229.910264,365,0.002739726,0.00061775,0.002739726,65269.74521,118.5159363,82.29910264,118.5159363,309
SOL-USD,2022,4225.248322,365,0.002739726,0.000317154,0.002739726,44019.18558,88.65797881,42.25248322,88.65797881,0
SOL-USD,2023,1612.50588,365,0.002739726,0.000121037,0.002739726,33517.79683,46.36770452,16.1250588,46.36770452,358
SOL-USD,2024,957.5251016,60,0.016666667,0.002660531,0.016666667,1473.110199,17.06523164,9.575251016,17.06523164,59
XRP-USD,2017,50.99661925,53,0.018867925,0.000181612,0.018867925,91.4442725,2.295166324,0.509966193,2.295166324,52
